master_id,order_channel,last_order_channel,first_order_date,last_order_date,last_order_date_online,last_order_date_offline,order_num_total_ever_online,order_num_total_ever_offline,customer_value_total_ever_offline,customer_value_total_ever_online,interested_in_categories_12
cc294636-19f0-11eb-8d74-000d3a38a36f,Android App,Offline,2020-10-30,2021-02-26,2021-02-21,2021-02-26,4.0,1.0,139.99,799.38,[KADIN]
f431bd5a-ab7b-11e9-a2fc-000d3a38a36f,Android App,Mobile,2017-02-08,2021-02-16,2021-02-16,2020-01-10,19.0,2.0,159.97,1853.58,"[ERKEK, COCUK, KADIN, AKTIFSPOR]"
69b69676-1a40-11ea-941b-000d3a38a36f,Android App,Android App,2019-11-27,2020-11-27,2020-11-27,2019-12-01,3.0,2.0,189.97,395.35,"[ERKEK, KADIN]"
1854e56c-491f-11eb-806e-000d3a38a36f,Android App,Android App,2021-01-06,2021-01-17,2021-01-17,2021-01-06,1.0,1.0,39.99,81.98,"[AKTIFCOCUK, COCUK]"
d6ea1074-f1f5-11e9-9346-000d3a38a36f,Desktop,Desktop,2019-08-03,2021-03-07,2021-03-07,2019-08-03,1.0,1.0,49.99,159.99,[AKTIFSPOR]
e585280e-aae1-11e9-a2fc-000d3a38a36f,Desktop,Offline,2018-11-18,2021-03-13,2018-11-18,2021-03-13,1.0,2.0,150.87,49.99,[KADIN]
c445e4ee-6242-11ea-9d1a-000d3a38a36f,Android App,Android App,2020-03-04,2020-10-18,2020-10-18,2020-03-04,3.0,1.0,59.99,315.94,[AKTIFSPOR]
3f1b4dc8-8a7d-11ea-8ec0-000d3a38a36f,Mobile,Offline,2020-05-15,2020-08-12,2020-05-15,2020-08-12,1.0,1.0,49.99,113.64,[COCUK]
cfbda69e-5b4f-11ea-aca7-000d3a38a36f,Android App,Android App,2020-01-23,2021-03-07,2021-03-07,2020-01-25,3.0,2.0,120.48,934.21,"[ERKEK, COCUK, KADIN]"
1143f032-440d-11ea-8b43-000d3a38a36f,Mobile,Mobile,2019-07-30,2020-10-04,2020-10-04,2019-07-30,1.0,1.0,69.98,95.98,"[KADIN, AKTIFSPOR]"
ae608ece-c9d8-11ea-a31e-000d3a38a36f,Ios App,Offline,2020-07-19,2020-07-25,2020-07-19,2020-07-25,1.0,1.0,74.99,39.99,"[AKTIFCOCUK, COCUK, KADIN]"
c2e15af2-9eed-11e9-9897-000d3a38a36f,Android App,Android App,2015-07-05,2021-05-19,2021-05-19,2020-07-10,19.0,1.0,90.49,2771.11,"[COCUK, KADIN, AKTIFSPOR]"
2854f11a-0185-11ea-a5e8-000d3a38a36f,Mobile,Offline,2019-11-07,2021-04-14,2020-11-02,2021-04-14,2.0,2.0,179.98,132.47,"[ERKEK, AKTIFSPOR]"
ec6c382a-3e97-11ea-a823-000d3a38a36f,Android App,Android App,2019-07-14,2021-01-05,2021-01-05,2019-09-20,1.0,3.0,457.8,99.99,[AKTIFSPOR]
241f0ad0-afb5-11e9-9757-000d3a38a36f,Ios App,Ios App,2018-12-28,2021-05-30,2021-05-30,2019-10-20,23.0,1.0,139.0,4274.29,"[ERKEK, AKTIFSPOR]"
13ed97a4-b167-11e9-89fa-000d3a38a36f,Mobile,Desktop,2019-06-13,2020-08-17,2020-08-17,2020-07-28,7.0,1.0,112.97,819.39,"[AKTIFCOCUK, COCUK, KADIN]"
d9b77226-a509-11e9-a2fc-000d3a38a36f,Mobile,Offline,2019-02-03,2020-11-11,2019-02-03,2020-11-11,1.0,4.0,400.45,94.8,[COCUK]
efb82ba4-aaba-11e9-a2fc-000d3a38a36f,Ios App,Ios App,2019-07-10,2021-01-20,2021-01-20,2019-07-10,2.0,2.0,428.97,459.89,"[ERKEK, AKTIFSPOR]"
1ee5ae66-7237-11eb-aa44-000d3a38a36f,Android App,Android App,2021-02-17,2021-04-11,2021-04-11,2021-02-17,1.0,1.0,59.99,207.13,"[AKTIFCOCUK, COCUK, AKTIFSPOR]"
2730793e-3908-11ea-85d6-000d3a38a36f,Mobile,Mobile,2019-07-29,2020-06-19,2020-06-19,2019-07-29,1.0,1.0,34.99,279.99,[ERKEK]
4da5c2ba-403b-11ea-aa6b-000d3a38a36f,Android App,Android App,2019-09-05,2021-01-24,2021-01-24,2019-09-05,1.0,1.0,49.98,59.99,[KADIN]
7b289956-d691-11e9-93bc-000d3a38a36f,Android App,Offline,2019-08-28,2020-11-26,2020-05-17,2020-11-26,1.0,2.0,495.69,234.98,"[ERKEK, KADIN]"
1a9b39d8-40ac-11ea-9be8-000d3a38a36f,Android App,Android App,2019-11-17,2020-05-31,2020-05-31,2019-11-17,1.0,1.0,119.98,99.99,[KADIN]
4fbb0cbe-9085-11ea-af25-000d3a38a36f,Android App,Offline,2020-05-11,2021-01-29,2020-05-11,2021-01-29,1.0,1.0,172.97,69.48,"[COCUK, KADIN]"
d1fabf76-7171-11eb-a3e2-000d3a38a36f,Desktop,Desktop,2021-02-15,2021-05-03,2021-05-03,2021-02-15,1.0,3.0,839.97,266.59,[AKTIFSPOR]
6ff327d4-b0e1-11e9-9757-000d3a38a36f,Android App,Offline,2020-02-04,2021-01-19,2020-10-23,2021-01-19,1.0,2.0,243.46,103.99,[KADIN]
7e7732ae-2d78-11eb-8062-000d3a299ebf,Mobile,Offline,2020-11-23,2021-04-06,2020-11-23,2021-04-06,1.0,1.0,303.94,228.37,"[ERKEK, KADIN, AKTIFSPOR]"
c1f8f878-9f35-11e9-9897-000d3a38a36f,Mobile,Offline,2013-06-03,2021-03-01,2019-07-02,2021-03-01,3.0,1.0,40.87,90.0,[COCUK]
5e1830d8-9e24-11e9-9897-000d3a38a36f,Ios App,Ios App,2020-11-19,2021-01-08,2021-01-08,2020-11-19,2.0,1.0,180.49,287.98,[AKTIFSPOR]
a46cc34a-a19f-11e9-a2fc-000d3a38a36f,Ios App,Ios App,2019-02-24,2020-11-29,2020-11-29,2019-02-24,1.0,1.0,49.99,125.99,[ERKEK]
1618f596-130a-11ea-a001-000d3a38a36f,Android App,Android App,2019-03-02,2021-04-11,2021-04-11,2019-03-16,2.0,3.0,399.95,432.87,[AKTIFSPOR]
c864868a-5134-11ea-99ba-000d3a38a36f,Android App,Android App,2019-10-06,2020-09-29,2020-09-29,2019-10-06,2.0,1.0,179.99,346.96,"[COCUK, KADIN]"
57b22f66-d6a3-11e9-93bc-000d3a38a36f,Android App,Android App,2019-08-29,2021-02-16,2021-02-16,2020-02-12,1.0,4.0,550.45,186.99,[AKTIFSPOR]
fb840306-1219-11ea-a001-000d3a38a36f,Ios App,Ios App,2020-01-18,2021-02-05,2021-02-05,2020-01-18,7.0,1.0,89.99,833.65,"[ERKEK, KADIN, AKTIFSPOR]"
1acf7870-87af-11ea-ace9-000d3a38a36f,Ios App,Offline,2020-04-26,2021-02-18,2020-04-26,2021-02-18,1.0,1.0,160.97,137.12,"[ERKEK, KADIN]"
7a52fd46-5be8-11ea-a7c9-000d3a38a36f,Mobile,Mobile,2020-02-16,2020-07-10,2020-07-10,2020-02-16,1.0,1.0,45.49,89.99,[AKTIFCOCUK]
196e721a-d6d9-11e9-93bc-000d3a38a36f,Mobile,Mobile,2019-09-02,2020-08-11,2020-08-11,2019-09-02,1.0,1.0,39.99,89.99,[KADIN]
3551e96c-5b40-11ea-8e0b-000d3a38a36f,Ios App,Ios App,2020-02-16,2021-03-03,2021-03-03,2020-02-16,2.0,1.0,299.98,414.91,[AKTIFSPOR]
80c89c7a-d6dd-11e9-93bc-000d3a38a36f,Mobile,Offline,2019-09-02,2021-01-21,2019-09-02,2021-01-21,1.0,1.0,169.99,170.91,[KADIN]
280cd78c-f324-11e9-9346-000d3a38a36f,Android App,Android App,2019-02-20,2020-12-25,2020-12-25,2019-02-20,4.0,1.0,49.99,476.88,"[ERKEK, AKTIFSPOR]"
6e47c6c2-4f49-11ea-99ba-000d3a38a36f,Android App,Android App,2019-12-04,2020-11-26,2020-11-26,2019-12-04,5.0,1.0,99.99,999.9,"[KADIN, AKTIFSPOR]"
6a46e618-16f8-11ea-b4ec-000d3a38a36f,Android App,Offline,2019-11-13,2020-07-14,2020-07-13,2020-07-14,12.0,3.0,410.46,2519.88,[AKTIFSPOR]
1e6a5e78-7a8a-11ea-8f20-000d3a38a36f,Ios App,Offline,2020-04-10,2021-02-22,2020-04-30,2021-02-22,3.0,2.0,270.48,384.95,"[COCUK, AKTIFSPOR]"
6e19617c-f068-11ea-bde9-000d3a38a36f,Android App,Android App,2020-09-06,2021-04-21,2021-04-21,2020-09-06,1.0,1.0,99.99,214.94,[AKTIFSPOR]
a9acbdcc-a872-11e9-a2fc-000d3a38a36f,Desktop,Offline,2015-12-27,2020-08-02,2018-11-02,2020-08-02,4.0,1.0,70.49,721.2,[KADIN]
d45e704c-b13c-11e9-9757-000d3a38a36f,Desktop,Offline,2019-10-01,2020-07-01,2020-06-27,2020-07-01,1.0,2.0,330.45,764.94,"[ERKEK, KADIN]"
45b1d028-1da7-11ea-8bf2-000d3a38a36f,Desktop,Desktop,2019-06-30,2020-08-26,2020-08-26,2019-06-30,1.0,1.0,89.99,185.47,[KADIN]
09797cba-5b4a-11ea-8975-000d3a38a36f,Mobile,Mobile,2019-12-26,2021-04-27,2021-04-27,2019-12-26,3.0,1.0,119.99,749.94,"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]"
1eb32dea-a409-11e9-a2fc-000d3a38a36f,Android App,Android App,2019-04-11,2020-12-21,2020-12-21,2019-04-11,2.0,1.0,79.99,191.98,[ERKEK]
